"PluginKey","CandidatePathRel","CandidateSha256","CandidateScore","Selected","ConflictType"
"AltMenuScreen","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/3D Particle Effect Pack/sample_project_en/js/plugins/AltMenuScreen.js","e1d360287e366595bfd5715dc901744d822d7ff37450706943156048059587b2","88","False","conflict"
"AltMenuScreen","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/3D Particle Effect Pack/sample_project_jp/js/plugins/AltMenuScreen.js","e1d360287e366595bfd5715dc901744d822d7ff37450706943156048059587b2","-32","False","conflict"
"AltMenuScreen","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/AltMenuScreen.js","e1d360287e366595bfd5715dc901744d822d7ff37450706943156048059587b2","103","True","conflict"
"AltMenuScreen","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_jp/js/plugins/AltMenuScreen.js","e1d360287e366595bfd5715dc901744d822d7ff37450706943156048059587b2","-17","False","conflict"
"AltMenuScreen","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/MV Trinity Resource Pack/samplemap_en/js/plugins/AltMenuScreen.js","4fa96834b3f8b2d02681ce5ed0cdc184ff5301fea63fc0ecd72b1cc418ad6e5d","-17","False","conflict"
"AltMenuScreen","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/MV Trinity Resource Pack/samplemap_ja/js/plugins/AltMenuScreen.js","4fa96834b3f8b2d02681ce5ed0cdc184ff5301fea63fc0ecd72b1cc418ad6e5d","-37","False","conflict"
"AltSaveScreen","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/3D Particle Effect Pack/sample_project_en/js/plugins/AltSaveScreen.js","dd74edc83627d0819f2ebd49d20a3e1ba2e734b21f4839f4a942024cc32642fc","88","False","conflict"
"AltSaveScreen","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/3D Particle Effect Pack/sample_project_jp/js/plugins/AltSaveScreen.js","dd74edc83627d0819f2ebd49d20a3e1ba2e734b21f4839f4a942024cc32642fc","-32","False","conflict"
"AltSaveScreen","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/AltSaveScreen.js","dd74edc83627d0819f2ebd49d20a3e1ba2e734b21f4839f4a942024cc32642fc","103","True","conflict"
"AltSaveScreen","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_jp/js/plugins/AltSaveScreen.js","dd74edc83627d0819f2ebd49d20a3e1ba2e734b21f4839f4a942024cc32642fc","-17","False","conflict"
