archive,archive_sha256,archive_bytes,scan_status,license_entry_count,license_entries,license_snippets,all_entry_count,error_tail
imports/raw/more_assets_to_ingest/cat-pixel-mega-pack-materials-116d3cf56e03/CatMaterialsDEMO/CatMaterialsDEMO.zip,db7453b01ac4df225b6c945f0b049054ecf7a0cabea5947b7290d2ab845c45aa,11734,no_license_entry_found,0,,,23,
imports/raw/more_assets_to_ingest/lucifer-rpg-ui-c4cddb70ad02/Foozle_UI_0002_Lucifer_RPG_UI_Pixel_Art/Panels/Panels.rar,2b1aafc914a5b119f8c91045cf3978eaa47104f1c54bf88d39e5690fdf74056b,5347,no_license_entry_found,0,,,9,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Attack animation/Attack animation - without flame.zip,6f9af53ecbc494eecc9223f754ddc1e18cd1504439215af2412d45bd51c70df2,9440,no_license_entry_found,0,,,9,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Climb animation/Climb animation.zip,ac081806aa7df3e8267eacfb5abd414a4a3facd232bab7b0c3933eae755029f7,2095,no_license_entry_found,0,,,4,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Death animation/Death animation.zip,fa8ace8fd63bd53ee34a9128808a9d0612060ac8b5ca2591cd14a4be96729f12,6731,no_license_entry_found,0,,,12,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Extra attack animation/Extra attack animation.zip,f263790000627f08a8b137943be3d396c5946fa6345a6cb5eb78effbb821a6de,5419,no_license_entry_found,0,,,6,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/High Jump animation/High jump animation.zip,c960e5b64571ae0c828c60396108b23f728092b381387bcd2664054d218c97cd,11157,no_license_entry_found,0,,,13,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Hurt animation/Hurt animation.zip,db19d556c6f96ab5f3af3811dd765268d169ce68a6b15503cf1c86918bb2bc70,3660,no_license_entry_found,0,,,6,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Idle animation/Idle animation.zip,9c2fd25d39b89da294d87ee176755903324cf627ea36c5fa89c2491efbc61725,7253,no_license_entry_found,0,,,9,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Jump animation/Jump animation.zip,66d3e66665b8653c622e0b40e1623984ebe4fb40d33eae39ef41ff9a3a411904,6460,no_license_entry_found,0,,,8,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Push animation/Push animation.zip,a8d532bbd6b7e9ae82cb16861d05b130088973934c6979f98a8b2985baa91579,7128,no_license_entry_found,0,,,9,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Run and attack animation/Run and attack animation.zip,be4ddf27ec8592dbc4ed218020861b13c8222052c9c0341063e67ca5884f34d1,15495,no_license_entry_found,0,,,17,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Run animation/Run animation.zip,acd6d5134739d549e8ae2315f68d429efd1e8332adcedc93c5b0f2990a8b9040,7412,no_license_entry_found,0,,,9,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Walk and attack animation/Walk and attack.zip,2c952f7b02340dd004b051ce5a91ef2e97d497a369519bad58ed401a9b25d7ea,19227,no_license_entry_found,0,,,21,
imports/raw/more_assets_to_ingest/pointy-hat-mage-a69279af08c0/Foozle_2DC0004_Pointy_Hat_Mage/Walk animation/Walk animation.zip,62c4f546b1f4cdf24996ded2fedb2efe5e921e9a477765ba6b233fd158a20210,8983,no_license_entry_found,0,,,11,
imports/raw/more_assets_to_ingest/super-retro-world-interior-pack-week42-d44d3f002d48/unity/tile_palette.unitypackage,6cf3f299500cb6d21872b722ba0e4a0a6caf761f3dce2e1a57f5e0f7e0de5444,279699,no_license_entry_found,0,,,2,
imports/raw/more_assets_to_ingest/trap-and-weapon-c0c5bfe3897b/Trap and Weapon/Rocket Bullet.zip,b3c90bb356b27599265a2807756184d4b83bf9d7d340e9c906d5183f32f2a491,129812,no_license_entry_found,0,,,164,
more assets to ingest/Ancient Greek Mythology/1. Marble floor tiles.zip,71b5c65e13fb402271e025f2c16abb3ea3a2d6838ac9557c37f6829f4b521aa2,2256420,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/10. Altars and offering.zip,9d7470aea84e7ceb0e5cf59308e5f3ae9cc58299f924233be8d492913c1be260,1801308,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/11. Amphoras and pottery.zip,541c10859454ae46342f4e06584525a818496e322dbc638b83ab659676ece94a,1694031,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/12. Market props and crates.zip,a6e3414e0dabe3dde3bee00e9ba12f4e43d7856cbd8f7ca1fef8b60eae474504,1984732,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/13. Furniture and seating.zip,b996158e8159541a0a33a619f6de08a618a981243a4bc02c3fd571429e28dd28,1684162,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/14. Banners and flags.zip,14823dbf470cf895aeac79e9ea96f428c0161319aa3b874f5fd1b847e19f7787,1780293,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/15. Mythological Symbols.zip,e6a7c4985c99697f44d43524407edb6632643b1edd412810a1aaa2283a636855,1399904,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/16. Weapons and shields.zip,50344499e75aa3a725e2a018553177c931cd4a4e16d46db55c649017c75eb017,1361918,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/17. Ruins and debris.zip,9c698abd9f3804bb7ea848f7b131f196ce8a0f28af9ce222d5440959eecd0dfa,1898566,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/18. Nature and plants.zip,47c3e05a825355c972bad5d257cf8e2c6a76d3cf9d9c5a9d5cc220dd0bebf69c,2073236,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/19. Torches and braziers.zip,cb861cc90d004e5e758ab6a53d9f648cab11fc075cb26ac0d678287480d765e8,1267249,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/2. Temple wall tiles.zip,ba125f3044b542ac6f94af2f1a0a81ed425fc287a56235a04688310edd04637a,1999785,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/20. Divine magical tiles.zip,0d96c4dbb68e15d3fdc8043854c9a0210f5476b378903d1ab46b7616f8560876,1566158,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/3. Pillars and columns.zip,692538968ec29b8f4a3413463863cee91036c2a3b94876eb2b7a4bd6d34921e8,1907185,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/4. temple doors and gates.zip,7c960c3f9f4ef8e5bca170e1c061d80106a1b33ca59c0f41f4eb5125e960a9f0,2063435,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/5. stairs and elevation tiles.zip,8ec1208b031037d09d7a3ee02a5050a67b67240208a1261300b41e6304041f2f,2024708,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/6. Stone paths and roads.zip,1ae65ba3d7536e8ac42c7a0094e00e3018d7f8c54a6dd6be2416723565ed8158,2660171,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/7. Water fountains and pools.zip,a410744aad9560c676543de6a362e44427d25f01145a35f449adfb32194d7c7f,2183528,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/8. Olive trees and sacred trees.zip,b2326c26ea6c359411fc1ff4bf524959a5a369f8c0072c2d1150f631b861c2b1,2448749,no_license_entry_found,0,,,2,
more assets to ingest/Ancient Greek Mythology/9. Statues and sculptures.zip,d2492495f41da9a4777f7963ca454fcd80b05c81f58e73fa371af5e2a5231701,1830346,no_license_entry_found,0,,,2,
more assets to ingest/BDragon/1050 RPG Effects 64x64/RPG Effect All Free.zip,e5df337cf19139949510a40ff5a50d55dfbfd523ff5730e1ee76c5cc23447e8f,66109582,no_license_entry_found,0,,,274,
more assets to ingest/BDragon/200 Pixel Shader Explos and Power/64x64 Explo and Power Free.zip,c269ced7094cb60ec1f742abedec9b6080d18b2154bc0a1d1408616972cf3b17,20254046,no_license_entry_found,0,,,53,
more assets to ingest/BDragon/250 Pixel Shader Slash/48x48 Shader Slash Free.zip,0a3af61216f853d6a024f3099baea928eb2058d0420ef2004f1e8b68157fbbd6,12320091,no_license_entry_found,0,,,66,
more assets to ingest/BDragon/500 Pixel Bullet 24x24/500 Bullet 24x24 Free.zip,f00d92cd6bd0f2686367bf5caf51bbfd5d1c49adffed11724cd970d9a25843da,9255446,no_license_entry_found,0,,,42,
more assets to ingest/BDragon/500 Pixel Shader Cylinder Effect/Shader Cylinder 64x96 All Free.zip,b444f61fcd48a05765782ad459782c8c9f7debea82a06b2657b45ce17d77a2b4,32830785,no_license_entry_found,0,,,67,
more assets to ingest/BDragon/72 Cute Pixel Character/72 Character Free.zip,74b75dec4ddbef955c801a0d77843cbb9c852c7d19c2dcaa68fc5273276ec0b5,3455907,no_license_entry_found,0,,,38,
more assets to ingest/BDragon/Basic Pixel Health bar and Scroll bar/Pixel UI pack 3.rar,3266207a96af9bdf1c32d3f8916dbe2889dfa182aceba914df9a88700487cd4d,75881,no_license_entry_found,0,,,10,
more assets to ingest/BDragon/Basic Pixel Health bar and Scroll bar/Pixel UI pack 3.zip,a240f85902c22f41e020057d0aa3146c377895244cf51a08af2f3c855bbba1a9,76646,no_license_entry_found,0,,,10,
more assets to ingest/BDragon/Car and Tank All/Car and Tank Part All.zip,a8cfc3e788ac3e07f5920dfbbf0511601f93ac5ffdc033a08a1c7f3fe99d011a,616631,no_license_entry_found,0,,,201,
more assets to ingest/BDragon/Custom Border and Panels Menu All Part/Custom Border and Panels Menu All Part.rar,34b7570151bb5854f976fa63a956fdcf9a1da428cf8cae79ace26dadeb3342ef,4343745,no_license_entry_found,0,,,36,
more assets to ingest/BDragon/Effect and FX Pixel All Free/Effect and FX Pixel All Free.zip,bb00acab48b91bbfa09ab0cbdb68919b21a729d9d69aa11524a91efe8b23dfda,28399379,no_license_entry_found,0,,,197,
more assets to ingest/BDragon/Environment Decor All/Environment Decor All.zip,eee509a21e3f14486e3dfecb3d576525510d8a006cfe892e9514518b3f68fe35,480405,no_license_entry_found,0,,,61,
more assets to ingest/BDragon/Free Effect and Bullet 16x16/Effect and Bullet 16x16.zip,29a4d863c0aaf816b99bd000a802c0342db110eb46d046ce1f3f47d253e2f989,143010,no_license_entry_found,0,,,5,
more assets to ingest/BDragon/Free Effect Bullet Impact Explosion 32x32/Free  Effect Bullet Impact Explosion 32x32 V1.rar,e6a15a0d34a06261fb6f14694ffb23f138a0b35746042fcfd48a5a85a67075e4,1189693,no_license_entry_found,0,,,11,
more assets to ingest/BDragon/Free Smoke Fx Pixel 2/Free Smoke Fx Pixel 2.zip,7cd04ae6dc71f98cd5cb8849406c65bdfe0eb6ad8611e4c6166ba56e2ddd4201,608491,no_license_entry_found,0,,,9,
more assets to ingest/BDragon/Free Trap Platformer/Trap.rar,e6da1fdf15a06423b19200ec1d06dcdd75ee8c541883bf7cd014f09e4ed73bcb,574697,no_license_entry_found,0,,,45,
more assets to ingest/BDragon/Magic Shader Part 5/Magic Shader Part 5.zip,f6072eee5dcd5ecf3f8f1f388767324a05cd84d41c9ebb59d3fa7b8233c99776,13033646,no_license_entry_found,0,,,6,
more assets to ingest/BDragon/Medal Icon All/Medal Icon All.zip,87736d39a2d4bc17087581fd2ffebb50ca9ea5baa220a3722d85d98f48e9099d,539144,no_license_entry_found,0,,,81,
more assets to ingest/BDragon/Pixel Adventure Character 16x16/Adventure Character 16x16.rar,5de188278627a1edb95396b09cd2f2166eef73fafc9c74dd92a9577d92567394,272636,no_license_entry_found,0,,,22,
more assets to ingest/BDragon/Pixel Avatar Frame All/Pixel Avatar Frame All.zip,268d1c795b91f4f21be674cc856a8f7401fd75f50533b3ec51d42f3f5451bd22,545757,no_license_entry_found,0,,,101,
more assets to ingest/BDragon/Pixel Gate All/Pixel Gate All.zip,2dd2925080a7916515bea3b208f268c109fc08a020195fb3dd898de3f035a4dc,921589,no_license_entry_found,0,,,101,
more assets to ingest/BDragon/Pixel Holy Spell Effect 32x32 Pack 3/Pixel Holy Spell Effect 32x32 Pack 3.rar,9a2962a4d6439d1387a7e4a3dd05cd207c10a297016d27d7c2556e0772da5235,72773,no_license_entry_found,0,,,3,
