pack,raw_location,absolute_location,exists,file_count,promotion_recommendation,license_statuses,top_categories
bots-and-bolts-robot-0b4b52d5174a,imports/raw/more_assets_to_ingest/bots-and-bolts-robot-0b4b52d5174a,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\bots-and-bolts-robot-0b4b52d5174a,True,350,candidate_review,commercial_use_stated_review_required,"sprite_or_character:348, license_or_readme:1, source_art:1"
dungeon-pack-free-version-1dac9c624af1,imports/raw/more_assets_to_ingest/dungeon-pack-free-version-1dac9c624af1,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\dungeon-pack-free-version-1dac9c624af1,True,234,candidate_review,commercial_use_stated_review_required;unknown_review_required,"tileset:141, sprite_or_character:88, license_or_readme:2, metadata:2"
farming-pack-free-version-0d25b506f7b5,imports/raw/more_assets_to_ingest/farming-pack-free-version-0d25b506f7b5,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\farming-pack-free-version-0d25b506f7b5,True,211,candidate_review,commercial_use_stated_review_required;unknown_review_required,"tileset:118, sprite_or_character:88, license_or_readme:2, metadata:2"
exterior-pack-free-version-89fca2d76b14,imports/raw/more_assets_to_ingest/exterior-pack-free-version-89fca2d76b14,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\exterior-pack-free-version-89fca2d76b14,True,162,candidate_review,commercial_use_stated_review_required,"tileset:139, sprite_or_character:20, image_uncategorized:1, license_or_readme:1"
character-pack-full-version-f1cc2853099b,imports/raw/more_assets_to_ingest/character-pack-full-version-f1cc2853099b,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\character-pack-full-version-f1cc2853099b,True,137,candidate_review,commercial_use_stated_review_required,"sprite_or_character:104, metadata:32, license_or_readme:1"
overworld-pack-free-version-e2e019f48719,imports/raw/more_assets_to_ingest/overworld-pack-free-version-e2e019f48719,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\overworld-pack-free-version-e2e019f48719,True,90,candidate_review,commercial_use_stated_review_required,"tileset:67, sprite_or_character:20, image_uncategorized:1, license_or_readme:1"
package-marketplace-week40-0ff0c5f1aa47,imports/raw/more_assets_to_ingest/package-marketplace-week40-0ff0c5f1aa47,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\package-marketplace-week40-0ff0c5f1aa47,True,76,candidate_review,commercial_use_stated_review_required;unknown_review_required,"image_uncategorized:42, sprite_or_character:20, tileset:12, license_or_readme:2"
gigantic-tree-pack-free-version-5157ac448182,imports/raw/more_assets_to_ingest/gigantic-tree-pack-free-version-5157ac448182,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\gigantic-tree-pack-free-version-5157ac448182,True,35,candidate_review,commercial_use_stated_review_required,"sprite_or_character:20, tileset:12, image_uncategorized:1, license_or_readme:1"
isometric-tiles-town-pack-example-4598c75444ea,imports/raw/more_assets_to_ingest/isometric-tiles-town-pack-example-4598c75444ea,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\isometric-tiles-town-pack-example-4598c75444ea,True,5,candidate_review,permissive_cc0_or_public_domain,"map_or_tileset_data:4, license_or_readme:1"
sbs-cubemap-splitter-61b2c81e11ae,imports/raw/more_assets_to_ingest/sbs-cubemap-splitter-61b2c81e11ae,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\sbs-cubemap-splitter-61b2c81e11ae,True,3,candidate_review,permissive_cc0_or_public_domain,"license_or_readme:2, binary_or_tool:1"
amir-forest-nature-pack-ec5f0fa5296f,imports/raw/more_assets_to_ingest/amir-forest-nature-pack-ec5f0fa5296f,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\amir-forest-nature-pack-ec5f0fa5296f,True,502,hold_quarantine,no_license_evidence,model_3d:502
